date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2024-02-08,2865.90,8820.60,1726.86,3364.93,751.50,1.28,1.29,1.16,0.64,1.09,10174.6,,,,,
2024-02-19,2910.54,8902.33,1746.42,3403.81,763.32,1.56,0.93,1.13,1.16,1.57,9572.9,,,,,
2024-02-20,2922.73,8905.96,1746.18,3410.85,754.70,0.42,0.04,-0.01,0.21,-1.13,7894.5,,,,,
2024-02-21,2950.96,8975.97,1752.48,3456.87,755.16,0.97,0.79,0.36,1.35,0.06,9802.5,,,,,
2024-02-22,2988.36,9043.75,1757.87,3486.67,762.38,1.27,0.76,0.31,0.86,0.96,8223.9,,,,,
2024-02-23,3004.88,9069.42,1758.19,3489.74,764.48,0.55,0.28,0.02,0.09,0.28,9219.6,,,,,
2024-02-26,2977.02,9066.09,1751.70,3453.36,768.49,-0.93,-0.04,-0.37,-1.04,0.52,9891.0,,,,,
2024-02-27,3015.48,9269.57,1793.98,3494.79,796.91,1.29,2.24,2.41,1.20,3.70,9900.0,,,,,
2024-02-28,2957.85,9047.10,1748.97,3450.26,771.59,-1.91,-2.40,-2.51,-1.27,-3.18,13566.5,,,,,
2024-02-29,3015.17,9330.44,1807.03,3516.08,807.71,1.94,3.13,3.32,1.91,4.68,10526.6,,,,,
2024-03-01,3027.02,9434.75,1824.03,3537.80,815.49,0.39,1.12,0.94,0.62,0.96,10552.4,,,,,
2024-03-04,3039.31,9438.24,1834.83,3540.87,818.51,0.41,0.04,0.59,0.09,0.37,10771.0,,,,,
2024-03-05,3047.79,9416.80,1833.66,3565.51,817.77,0.28,-0.23,-0.06,0.70,-0.09,10670.5,,,,,
2024-03-06,3039.93,9395.65,1832.58,3551.05,811.90,-0.26,-0.22,-0.06,-0.41,-0.72,9317.8,,,,,
2024-03-07,3027.40,9267.12,1789.94,3529.72,794.24,-0.41,-1.37,-2.33,-0.60,-2.18,9816.6,,,,,
2024-03-08,3046.02,9369.05,1807.29,3544.91,803.20,0.62,1.10,0.97,0.43,1.13,8606.3,,,,,
2024-03-11,3068.46,9581.53,1890.41,3589.26,818.44,0.74,2.27,4.60,1.25,1.90,10058.1,,,,,
2024-03-12,3055.94,9630.55,1906.04,3597.49,817.75,-0.41,0.51,0.83,0.23,-0.08,11453.8,,,,,
2024-03-13,3043.83,9604.99,1895.15,3572.36,814.93,-0.40,-0.27,-0.57,-0.70,-0.34,10547.7,,,,,
2024-03-14,3038.23,9555.42,1883.02,3562.22,804.86,-0.18,-0.52,-0.64,-0.28,-1.24,10072.5,,,,,
2024-03-15,3054.64,9612.75,1884.09,3569.99,808.67,0.54,0.60,0.06,0.22,0.47,9445.6,,,,,
2024-03-18,3084.93,9752.83,1926.40,3603.53,825.40,0.99,1.46,2.25,0.94,2.07,11379.0,,,,,
2024-03-19,3062.76,9696.69,1906.94,3577.63,811.77,-0.72,-0.58,-1.01,-0.72,-1.65,10779.4,,,,,
2024-03-20,3079.69,9717.37,1909.25,3585.38,814.03,0.55,0.21,0.12,0.22,0.28,9999.8,,,,,
2024-03-21,3077.11,9682.51,1897.09,3581.09,806.14,-0.08,-0.36,-0.64,-0.12,-0.97,10677.7,,,,,
2024-03-22,3048.03,9565.56,1869.17,3545.00,794.20,-0.95,-1.21,-1.47,-1.01,-1.48,10973.1,,,,,
2024-03-25,3026.31,9422.61,1833.44,3525.76,781.65,-0.71,-1.49,-1.91,-0.54,-1.58,10434.3,,,,,
2024-03-26,3031.48,9449.43,1841.54,3543.75,772.09,0.17,0.28,0.44,0.51,-1.22,9560.3,,,,,
2024-03-27,2993.14,9222.47,1789.82,3502.79,752.82,-1.26,-2.40,-2.81,-1.16,-2.50,8888.6,,,,,
2024-03-28,3010.66,9342.92,1806.90,3520.96,763.27,0.59,1.31,0.95,0.52,1.39,9322.6,,,,,
2024-03-29,3041.17,9400.85,1818.20,3537.48,762.74,1.01,0.62,0.63,0.47,-0.07,8585.9,,,,,
